Model,Accuracy,Precision,Recall,F1,ROC-AUC,MCC,Confusion Matrix,Classification Report
Logistic Regression,0.901249585314608,0.6444833625218914,0.34782608695652173,0.4518109269490485,0.9055740146044154,0.42605817794513523,"[[7782, 203], [690, 368]]","{""0"": {""precision"": 0.9185552407932012, ""recall"": 0.9745773324984346, ""f1-score"": 0.9457373761925016, ""support"": 7985.0}, ""1"": {""precision"": 0.6444833625218914, ""recall"": 0.34782608695652173, ""f1-score"": 0.4518109269490485, ""support"": 1058.0}, ""accuracy"": 0.901249585314608, ""macro avg"": {""precision"": 0.7815193016575464, ""recall"": 0.6612017097274782, ""f1-score"": 0.698774151570775, ""support"": 9043.0}, ""weighted avg"": {""precision"": 0.88648977057192, ""recall"": 0.901249585314608, ""f1-score"": 0.887949674843439, ""support"": 9043.0}}"
Decision Tree,0.8745991374543846,0.46487985212569316,0.47542533081285443,0.4700934579439252,0.7014571863832587,0.39902087033749317,"[[7406, 579], [555, 503]]","{""0"": {""precision"": 0.9302851400577817, ""recall"": 0.9274890419536631, ""f1-score"": 0.9288849868305531, ""support"": 7985.0}, ""1"": {""precision"": 0.46487985212569316, ""recall"": 0.47542533081285443, ""f1-score"": 0.4700934579439252, ""support"": 1058.0}, ""accuracy"": 0.8745991374543846, ""macro avg"": {""precision"": 0.6975824960917374, ""recall"": 0.7014571863832588, ""f1-score"": 0.6994892223872391, ""support"": 9043.0}, ""weighted avg"": {""precision"": 0.875834316809728, ""recall"": 0.8745991374543846, ""f1-score"": 0.8752079507184164, ""support"": 9043.0}}"
KNN,0.898595598805706,0.6256684491978609,0.33175803402646503,0.4336009882643607,0.8500265147434996,0.4070073583293771,"[[7775, 210], [707, 351]]","{""0"": {""precision"": 0.9166470172129215, ""recall"": 0.9737006887914841, ""f1-score"": 0.9443128681605636, ""support"": 7985.0}, ""1"": {""precision"": 0.6256684491978609, ""recall"": 0.33175803402646503, ""f1-score"": 0.4336009882643607, ""support"": 1058.0}, ""accuracy"": 0.898595598805706, ""macro avg"": {""precision"": 0.7711577332053912, ""recall"": 0.6527293614089745, ""f1-score"": 0.6889569282124621, ""support"": 9043.0}, ""weighted avg"": {""precision"": 0.8826035222488683, ""recall"": 0.898595598805706, ""f1-score"": 0.8845613289666918, ""support"": 9043.0}}"
Gaussian Naive Bayes,0.8548048214088245,0.4059040590405904,0.5198487712665406,0.45586406962287607,0.8100945416322902,0.37735837569864067,"[[7180, 805], [508, 550]]","{""0"": {""precision"": 0.9339229968782519, ""recall"": 0.8991859737006888, ""f1-score"": 0.9162253557072673, ""support"": 7985.0}, ""1"": {""precision"": 0.4059040590405904, ""recall"": 0.5198487712665406, ""f1-score"": 0.45586406962287607, ""support"": 1058.0}, ""accuracy"": 0.8548048214088245, ""macro avg"": {""precision"": 0.6699135279594212, ""recall"": 0.7095173724836147, ""f1-score"": 0.6860447126650717, ""support"": 9043.0}, ""weighted avg"": {""precision"": 0.8721465912349646, ""recall"": 0.8548048214088245, ""f1-score"": 0.8623646633842234, ""support"": 9043.0}}"
Random Forest,0.9073316377308416,0.6697530864197531,0.4102079395085066,0.5087924970691676,0.9290977411569188,0.47779682454933464,"[[7771, 214], [624, 434]]","{""0"": {""precision"": 0.925670041691483, ""recall"": 0.9731997495303695, ""f1-score"": 0.9488400488400488, ""support"": 7985.0}, ""1"": {""precision"": 0.6697530864197531, ""recall"": 0.4102079395085066, ""f1-score"": 0.5087924970691676, ""support"": 1058.0}, ""accuracy"": 0.9073316377308416, ""macro avg"": {""precision"": 0.797711564055618, ""recall"": 0.691703844519438, ""f1-score"": 0.7288162729546082, ""support"": 9043.0}, ""weighted avg"": {""precision"": 0.8957286352248801, ""recall"": 0.9073316377308416, ""f1-score"": 0.8973559937948655, ""support"": 9043.0}}"
